,query,format,latency
0,1,parquet,28.42131352
1,1,parquet,27.94558668
2,1,parquet,27.77410483
3,1,parquet,28.06423879
4,1,parquet,28.02399397
5,1,parquet,28.00590181
6,1,parquet,27.54173088
7,1,parquet,27.8545289
8,1,parquet,27.59255815
9,1,parquet,27.69678354
10,1,skyhook,48.69320369
11,1,skyhook,48.31501245
13,1,skyhook,48.50998569
14,1,skyhook,49.04378605
15,1,skyhook,47.85363436
16,1,skyhook,47.64306855
17,1,skyhook,47.96363831
18,1,skyhook,48.46833825
19,1,skyhook,48.02335858
20,2,parquet,7.505555391
21,2,parquet,6.44979763
22,2,parquet,6.058883667
23,2,parquet,5.960602999
24,2,parquet,6.115951061
25,2,parquet,6.024090767
26,2,parquet,5.984639645
27,2,parquet,5.954229593
28,2,parquet,6.177050114
29,2,parquet,6.004349232
31,2,skyhook,13.03268838
35,2,skyhook,10.77170348
38,2,skyhook,12.45668888
40,3,parquet,37.42098022
41,3,parquet,37.86187792
42,3,parquet,35.11655045
43,3,parquet,35.84797096
44,3,parquet,35.2476604
45,3,parquet,36.01433802
46,3,parquet,34.93856478
47,3,parquet,34.9826045
48,3,parquet,36.72911572
49,3,parquet,37.51285172
51,3,skyhook,38.39152193
52,3,skyhook,38.68977261
55,3,skyhook,41.77488494
57,3,skyhook,39.82747507
61,4,parquet,36.68690133
63,4,parquet,38.1770041
64,4,parquet,34.04067588
65,4,parquet,36.85976362
67,4,parquet,37.06880689
68,4,parquet,33.61890936
69,4,parquet,36.24121952
71,4,skyhook,45.05404425
72,4,skyhook,44.65712881
73,4,skyhook,48.02494907
74,4,skyhook,42.97529435
75,4,skyhook,44.75204229
76,4,skyhook,43.278754
78,4,skyhook,42.11192536
80,5,parquet,34.94284844
82,5,parquet,33.82568383
83,5,parquet,34.3464582
84,5,parquet,34.16915536
85,5,parquet,33.96565843
86,5,parquet,33.94327021
87,5,parquet,34.02501512
88,5,parquet,34.05406094
89,5,parquet,33.86490774
99,5,skyhook,44.37004447
100,6,parquet,18.32040381
101,6,parquet,17.87974072
102,6,parquet,17.67526484
103,6,parquet,17.81819606
104,6,parquet,17.61068225
105,6,parquet,17.7976923
106,6,parquet,17.70877981
107,6,parquet,17.71323133
108,6,parquet,17.64151597
109,6,parquet,17.70192242
110,6,skyhook,17.43438196
111,6,skyhook,16.98409247
112,6,skyhook,17.24945474
113,6,skyhook,17.10083866
114,6,skyhook,17.00714517
115,6,skyhook,17.00296164
116,6,skyhook,17.06521702
117,6,skyhook,17.02065587
118,6,skyhook,17.00088501
119,6,skyhook,17.04738402
121,7,parquet,56.84208274
122,7,parquet,59.4104116
123,7,parquet,60.94209409
124,7,parquet,58.45360136
125,7,parquet,58.45792842
126,7,parquet,55.67777348
127,7,parquet,56.80156422
128,7,parquet,58.7524085
129,7,parquet,55.63869953
138,7,skyhook,46.9946034
139,7,skyhook,40.61756229
140,8,parquet,41.42376018
141,8,parquet,41.03619885
142,8,parquet,41.23606396
143,8,parquet,40.36070085
144,8,parquet,39.73583198
145,8,parquet,39.73434281
146,8,parquet,40.81000209
147,8,parquet,40.23907566
148,8,parquet,40.72964835
153,8,skyhook,55.75399399
156,8,skyhook,56.54526758
158,8,skyhook,53.23491478
160,9,parquet,65.25879097
161,9,parquet,63.39473677
163,9,parquet,63.92925978
164,9,parquet,60.90217948
165,9,parquet,65.7361877
166,9,parquet,64.8898046
167,9,parquet,64.64277816
168,9,parquet,60.97419
169,9,parquet,62.44872451
177,9,skyhook,66.92336845
180,10,parquet,36.7011354
181,10,parquet,35.74380779
182,10,parquet,35.31063485
183,10,parquet,35.17597628
184,10,parquet,34.86727452
186,10,parquet,35.3846097
187,10,parquet,34.95508385
188,10,parquet,44.3486135
189,10,parquet,35.21951056
193,10,skyhook,35.00551033
194,10,skyhook,35.4924655
195,10,skyhook,41.69124484
197,10,skyhook,39.98100686
198,10,skyhook,35.12562251
200,11,parquet,5.874750376
201,11,parquet,5.526039839
202,11,parquet,5.378634691
203,11,parquet,5.094698906
204,11,parquet,5.323848963
205,11,parquet,5.144142866
206,11,parquet,5.088541031
207,11,parquet,5.02115202
208,11,parquet,5.293806076
209,11,parquet,5.164271593
213,11,skyhook,13.74896812
215,11,skyhook,14.22227001
216,11,skyhook,13.87864685
217,11,skyhook,12.70367146
219,11,skyhook,13.31558442
221,12,parquet,39.9796617
222,12,parquet,38.95115376
223,12,parquet,37.55433583
224,12,parquet,36.87836242
225,12,parquet,39.76118445
227,12,parquet,38.21350884
228,12,parquet,37.63073158
229,12,parquet,37.53273749
230,12,skyhook,29.36199427
231,12,skyhook,29.20586562
232,12,skyhook,29.65932417
233,12,skyhook,29.20903873
241,13,parquet,24.06469297
244,13,parquet,25.65414166
246,13,parquet,23.67790079
247,13,parquet,24.04289222
248,13,parquet,23.03553772
249,13,parquet,25.0888083
250,13,skyhook,39.04927278
252,13,skyhook,35.95252776
253,13,skyhook,31.74480605
254,13,skyhook,31.4350059
255,13,skyhook,32.89626384
257,13,skyhook,31.55311966
258,13,skyhook,31.78793025
260,14,parquet,29.91141033
261,14,parquet,28.81060648
262,14,parquet,28.47951579
263,14,parquet,29.71459436
264,14,parquet,28.70766902
265,14,parquet,28.48148608
266,14,parquet,28.40382743
267,14,parquet,28.70634294
268,14,parquet,28.94402075
269,14,parquet,28.28588676
270,14,skyhook,22.71026206
271,14,skyhook,21.64124084
272,14,skyhook,22.29183078
273,14,skyhook,21.40930104
274,14,skyhook,22.25649905
275,14,skyhook,22.20840931
276,14,skyhook,21.36916351
277,14,skyhook,22.54018664
278,14,skyhook,22.08701968
279,14,skyhook,21.52831101
280,15,parquet,35.52576852
281,15,parquet,34.9329927
282,15,parquet,34.74405766
283,15,parquet,34.79580116
284,15,parquet,34.5859108
285,15,parquet,34.70676708
286,15,parquet,34.50215006
287,15,parquet,34.70860267
288,15,parquet,34.41071081
289,15,parquet,34.30359387
294,15,skyhook,22.32082009
296,15,skyhook,22.67677617
298,15,skyhook,22.71979809
299,15,skyhook,22.7195375
301,16,parquet,29.3031137
302,16,parquet,27.77622986
303,16,parquet,27.69506049
304,16,parquet,27.65436149
305,16,parquet,27.82982945
306,16,parquet,27.78906679
307,16,parquet,27.77120924
308,16,parquet,27.98805952
309,16,parquet,27.48913884
310,16,skyhook,29.79137492
311,16,skyhook,23.45301867
312,16,skyhook,29.1709435
313,16,skyhook,29.62870932
315,16,skyhook,28.56707048
317,16,skyhook,28.45934558
320,17,parquet,39.00740719
321,17,parquet,33.8074851
322,17,parquet,33.25393581
323,17,parquet,32.95784831
324,17,parquet,34.12956905
325,17,parquet,33.428509
326,17,parquet,33.38041592
327,17,parquet,33.36972618
328,17,parquet,33.90647197
329,17,parquet,33.42117286
331,17,skyhook,35.29003429
341,18,parquet,31.65739894
343,18,parquet,28.09736586
344,18,parquet,28.96632886
345,18,parquet,29.89368844
346,18,parquet,29.36567616
347,18,parquet,31.82675028
348,18,parquet,28.88692904
349,18,parquet,27.89414954
355,18,skyhook,45.78766346
360,19,parquet,42.32201028
361,19,parquet,40.74975657
362,19,parquet,41.15342402
363,19,parquet,40.59676552
364,19,parquet,41.11783481
365,19,parquet,40.8431294
366,19,parquet,40.69775128
367,19,parquet,40.82809091
368,19,parquet,40.88685799
369,19,parquet,40.7197845
370,19,skyhook,40.60877085
371,19,skyhook,40.33048105
372,19,skyhook,39.93396187
373,19,skyhook,41.00049734
374,19,skyhook,40.12566161
375,19,skyhook,40.35969663
376,19,skyhook,40.95902562
377,19,skyhook,40.76539731
378,19,skyhook,40.19756722
379,19,skyhook,40.72880387
380,20,parquet,36.35496497
381,20,parquet,34.50884843
382,20,parquet,34.36873055
383,20,parquet,34.90471816
384,20,parquet,34.46243572
385,20,parquet,34.53410816
386,20,parquet,34.27208281
387,20,parquet,34.07958746
388,20,parquet,34.15812445
389,20,parquet,34.6478951
390,20,skyhook,35.33139873
392,20,skyhook,31.84674835
393,20,skyhook,35.19161487
394,20,skyhook,34.89710665
395,20,skyhook,34.75958753
396,20,skyhook,33.92686105
397,20,skyhook,31.18225145
398,20,skyhook,34.78193259
399,20,skyhook,31.70693493
401,21,parquet,78.44993949
403,21,parquet,76.45460701
407,21,parquet,83.97638917
409,21,parquet,78.91807175
414,21,skyhook,97.64265156
416,21,skyhook,91.04818034
418,21,skyhook,96.84171844
421,22,parquet,16.17263317
422,22,parquet,19.20940113
423,22,parquet,16.70560074
424,22,parquet,17.37326956
425,22,parquet,16.7961216
426,22,parquet,15.37910342
427,22,parquet,16.66598582
428,22,parquet,19.79666114
430,22,skyhook,17.76047111
432,22,skyhook,17.90052581
433,22,skyhook,17.45924234
434,22,skyhook,16.10099125
437,22,skyhook,15.7100904
438,22,skyhook,16.12118673
439,22,skyhook,16.56976342